Problem id,Problem Name,Problem Link,Tags,difficulty,solved,total solved
1872G,Replace With Product,https://codeforces.com//problemset/problem/1872/G,"brute force,greedy,math",,14/15,x2404
1872F,Selling a Menagerie,https://codeforces.com//problemset/problem/1872/F,"dfs and similar,dsu,graphs,implementation,math",,15/15,x3744
1872E,Data Structures Fan,https://codeforces.com//problemset/problem/1872/E,"binary search,bitmasks,data structures,dp",,17/17,x8138
1872D,Plus Minus Permutation,https://codeforces.com//problemset/problem/1872/D,math,,17/17,x14431
1872C,Non-coprime Split,https://codeforces.com//problemset/problem/1872/C,"math,number theory",,17/17,x16867
1872B,The Corridor or There and Back Again,https://codeforces.com//problemset/problem/1872/B,"greedy,implementation",,17/17,x21026
1872A,Two Vessels,https://codeforces.com//problemset/problem/1872/A,"brute force,greedy,math",,17/17,x28722
1869B,2D Traveling,https://codeforces.com//problemset/problem/1869/B,"geometry,math,shortest paths,sortings",,15/15,x10178
1869A,Make It Zero,https://codeforces.com//problemset/problem/1869/A,constructive algorithms,,15/15,x12405
1868F,LIS?,https://codeforces.com//problemset/problem/1868/F,"data structures,greedy,implementation",,,x15
1868E,Min-Sum-Max,https://codeforces.com//problemset/problem/1868/E,"constructive algorithms,dp,greedy",,,x24
1868D,Flower-like Pseudotree,https://codeforces.com//problemset/problem/1868/D,"constructive algorithms,graphs,greedy,implementation,trees",,,x125
1868C,Travel Plan,https://codeforces.com//problemset/problem/1868/C,"combinatorics,dp,implementation,math,trees",,1/1,x676
1868B2,Candy Party (Hard Version),https://codeforces.com//problemset/problem/1868/B2,"bitmasks,constructive algorithms,dp,greedy,implementation,math",,1/2,x1610
1868B1,Candy Party (Easy Version),https://codeforces.com//problemset/problem/1868/B1,"bitmasks,constructive algorithms,graphs,greedy,implementation,math",,8/12,x4432
1868A,Fill in the Matrix,https://codeforces.com//problemset/problem/1868/A,"constructive algorithms,implementation",,11/12,x8205
1867F,Most Different Tree,https://codeforces.com//problemset/problem/1867/F,"brute force,constructive algorithms,dfs and similar,greedy,hashing",,,x209
1867E2,Salyg1n and Array (hard version),https://codeforces.com//problemset/problem/1867/E2,"constructive algorithms,interactive",,8/9,x1945
1867E1,Salyg1n and Array (simple version),https://codeforces.com//problemset/problem/1867/E1,"constructive algorithms,interactive,math",,12/13,x2358
